received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-08T22:26:50.319878+00:00,1,355,128x,100ms,0,6,14,18,24,6,14,18,24,23,117
2026-09-08T22:26:50.669815+00:00,2,709,128x,100ms,0,6,14,18,24,6,14,18,24,23,117
2026-09-08T22:26:51.045951+00:00,3,1063,128x,100ms,0,6,14,18,24,6,14,18,24,23,117
2026-09-08T22:26:51.396293+00:00,4,1419,128x,100ms,0,6,14,18,24,6,14,18,24,23,117
2026-09-08T22:26:51.745920+00:00,5,1773,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:52.094827+00:00,6,2127,128x,100ms,0,6,14,18,24,6,14,18,24,23,117
2026-09-08T22:26:52.445872+00:00,7,2482,128x,100ms,0,6,14,18,24,6,14,18,24,22,116
2026-09-08T22:26:52.820282+00:00,8,2836,128x,100ms,0,6,14,18,24,6,14,18,24,22,115
2026-09-08T22:26:53.171103+00:00,9,3190,128x,100ms,1,6,14,18,24,6,14,18,24,22,115
2026-09-08T22:26:53.519739+00:00,10,3545,128x,100ms,1,6,14,18,24,6,14,18,24,22,114
2026-09-08T22:26:53.870198+00:00,11,3899,128x,100ms,1,6,14,18,24,6,14,18,24,22,114
2026-09-08T22:26:54.220915+00:00,12,4254,128x,100ms,1,6,14,18,24,6,14,18,24,22,115
2026-09-08T22:26:54.570230+00:00,13,4609,128x,100ms,1,6,14,18,24,6,14,18,24,22,115
2026-09-08T22:26:54.945163+00:00,14,4962,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:55.296006+00:00,15,5316,128x,100ms,1,6,14,19,24,6,15,18,24,23,116
2026-09-08T22:26:55.644694+00:00,16,5670,128x,100ms,1,6,14,19,24,6,14,18,24,23,116
2026-09-08T22:26:55.994785+00:00,17,6025,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:56.346235+00:00,18,6379,128x,100ms,0,6,14,18,24,6,14,18,24,23,115
2026-09-08T22:26:56.694695+00:00,19,6733,128x,100ms,0,6,14,18,24,6,14,18,24,23,115
2026-09-08T22:26:57.069833+00:00,20,7088,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:57.419847+00:00,21,7442,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:57.770322+00:00,22,7796,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:58.119292+00:00,23,8151,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:58.470824+00:00,24,8504,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:58.819289+00:00,25,8858,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:59.196021+00:00,26,9212,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:59.546023+00:00,27,9567,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:26:59.894946+00:00,28,9921,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:00.245710+00:00,29,10275,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:00.594690+00:00,30,10630,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:00.945877+00:00,31,10984,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:01.320485+00:00,32,11338,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:01.669678+00:00,33,11693,128x,100ms,1,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:02.020935+00:00,34,12047,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:02.370856+00:00,35,12401,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:02.719706+00:00,36,12755,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:03.069607+00:00,37,13110,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
2026-09-08T22:27:03.445912+00:00,38,13464,128x,100ms,0,6,14,18,24,6,14,18,24,23,116
