received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-08T22:28:29.720805+00:00,4,1421,128x,100ms,0,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:30.070698+00:00,5,1775,128x,100ms,0,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:30.420983+00:00,6,2129,128x,100ms,0,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:30.795023+00:00,7,2484,128x,100ms,0,5,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:31.145663+00:00,8,2838,128x,100ms,0,6,14,18,22,6,14,18,23,20,102
2026-09-08T22:28:31.495292+00:00,9,3192,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:31.845790+00:00,10,3547,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:32.195865+00:00,11,3902,128x,100ms,1,5,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:32.570440+00:00,12,4256,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:32.919026+00:00,13,4611,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:33.270883+00:00,14,4965,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:33.620071+00:00,15,5319,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:33.969205+00:00,16,5675,128x,100ms,1,6,14,18,22,6,14,18,22,20,102
2026-09-08T22:28:34.320481+00:00,17,6029,128x,100ms,0,5,13,16,21,5,12,15,19,20,103
2026-09-08T22:28:34.695360+00:00,18,6383,128x,100ms,0,6,15,18,24,6,16,19,25,21,108
2026-09-08T22:28:35.045238+00:00,19,6737,128x,100ms,0,4,10,13,27,0,1,1,7,2,19
2026-09-08T22:28:35.396049+00:00,20,7092,128x,100ms,0,0,0,0,0,0,0,0,0,0,3
2026-09-08T22:28:35.745862+00:00,21,7446,128x,100ms,0,3,10,11,18,8,27,28,39,21,132
2026-09-08T22:28:36.095552+00:00,22,7800,128x,100ms,0,1,2,3,7,2,3,4,11,15,79
2026-09-08T22:28:36.445594+00:00,23,8156,128x,100ms,0,2,4,5,15,3,4,5,20,18,104
2026-09-08T22:28:36.820577+00:00,24,8510,128x,100ms,0,4,5,7,43,5,9,12,66,26,211
2026-09-08T22:28:37.170803+00:00,25,8864,128x,100ms,0,9,19,23,112,10,26,28,98,36,301
2026-09-08T22:28:37.519332+00:00,26,9220,128x,100ms,1,18,54,66,77,7,18,22,30,26,172
2026-09-08T22:28:37.870673+00:00,27,9574,128x,100ms,1,5,13,16,19,5,14,17,22,20,109
2026-09-08T22:28:38.219859+00:00,28,9928,128x,100ms,1,6,14,18,24,6,15,18,24,22,115
2026-09-08T22:28:38.595252+00:00,29,10283,128x,100ms,1,6,15,19,24,6,15,18,24,22,114
2026-09-08T22:28:38.945205+00:00,30,10637,128x,100ms,1,6,14,17,22,6,14,17,22,22,112
2026-09-08T22:28:39.295649+00:00,31,10991,128x,100ms,1,6,14,17,23,6,14,17,22,22,111
2026-09-08T22:28:39.644071+00:00,32,11345,128x,100ms,1,6,14,17,22,6,14,17,23,22,112
2026-09-08T22:28:39.995360+00:00,33,11700,128x,100ms,1,6,14,17,23,6,14,18,23,22,112
2026-09-08T22:28:40.345486+00:00,34,12054,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:40.720703+00:00,35,12408,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:41.070487+00:00,36,12763,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:41.420590+00:00,37,13117,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:41.770402+00:00,38,13471,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:42.121259+00:00,39,13826,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:42.470167+00:00,40,14180,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:42.845841+00:00,41,14534,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:43.195533+00:00,42,14888,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:43.545396+00:00,43,15243,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:43.895436+00:00,44,15597,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:44.245072+00:00,45,15951,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:44.593999+00:00,46,16306,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:44.970427+00:00,47,16660,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:45.320756+00:00,48,17014,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:45.670777+00:00,49,17369,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:46.020933+00:00,50,17723,128x,100ms,1,5,14,17,22,6,14,18,23,22,112
2026-09-08T22:28:46.369118+00:00,51,18077,128x,100ms,0,6,14,17,23,6,14,18,23,22,112
2026-09-08T22:28:46.719100+00:00,52,18432,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:47.095313+00:00,53,18786,128x,100ms,0,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:47.445764+00:00,54,19140,128x,100ms,0,6,14,18,23,6,14,18,23,23,112
2026-09-08T22:28:47.795720+00:00,55,19494,128x,100ms,0,6,14,17,23,6,14,17,22,23,112
2026-09-08T22:28:48.145107+00:00,56,19849,128x,100ms,0,6,14,17,22,6,14,17,22,23,113
2026-09-08T22:28:48.496038+00:00,57,20203,128x,100ms,0,6,14,17,22,6,14,18,23,23,113
2026-09-08T22:28:48.845783+00:00,58,20557,128x,100ms,0,6,14,18,23,6,14,17,23,22,112
2026-09-08T22:28:49.220641+00:00,59,20912,128x,100ms,0,6,14,17,23,6,14,18,23,22,112
2026-09-08T22:28:49.570091+00:00,60,21266,128x,100ms,1,6,14,18,23,6,14,18,23,22,112
2026-09-08T22:28:49.920259+00:00,61,21620,128x,100ms,1,6,14,17,23,6,14,17,22,23,112
2026-09-08T22:28:50.270156+00:00,62,21975,128x,100ms,1,6,14,17,22,6,14,17,22,22,112
2026-09-08T22:28:50.620516+00:00,63,22328,128x,100ms,1,6,14,17,22,6,14,17,23,22,112
2026-09-08T22:28:50.970655+00:00,64,22682,128x,100ms,1,6,14,17,23,5,14,17,23,22,112
2026-09-08T22:28:51.345641+00:00,65,23036,128x,100ms,1,6,14,17,23,6,14,17,23,23,112
2026-09-08T22:28:51.695263+00:00,66,23391,128x,100ms,1,6,14,17,23,6,14,17,22,21,110
2026-09-08T22:28:52.045420+00:00,67,23745,128x,100ms,1,6,14,17,22,6,14,17,22,21,110
2026-09-08T22:28:52.395568+00:00,68,24099,128x,100ms,0,5,13,17,22,5,13,16,21,21,109
2026-09-08T22:28:52.745544+00:00,69,24455,128x,100ms,0,6,14,18,23,6,14,18,22,21,107
2026-09-08T22:28:53.095329+00:00,70,24809,128x,100ms,0,6,14,18,22,6,14,17,22,21,107
2026-09-08T22:28:53.470206+00:00,71,25163,128x,100ms,0,6,14,18,22,6,15,19,24,21,110
2026-09-08T22:28:53.818947+00:00,72,25518,128x,100ms,0,6,15,19,25,6,15,19,25,21,110
2026-09-08T22:28:54.170409+00:00,73,25872,128x,100ms,0,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:54.520814+00:00,74,26227,128x,100ms,0,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:54.870788+00:00,75,26582,128x,100ms,0,6,15,19,24,6,15,19,24,21,111
2026-09-08T22:28:55.220447+00:00,76,26936,128x,100ms,0,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:55.595536+00:00,77,27290,128x,100ms,1,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:55.945768+00:00,78,27644,128x,100ms,1,6,15,19,24,6,15,19,24,21,111
2026-09-08T22:28:56.295346+00:00,79,27999,128x,100ms,1,6,15,19,24,6,15,19,24,21,111
2026-09-08T22:28:56.645354+00:00,80,28353,128x,100ms,1,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:56.995616+00:00,81,28708,128x,100ms,1,6,15,19,24,6,15,19,24,21,111
2026-09-08T22:28:57.345870+00:00,82,29063,128x,100ms,1,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:57.720886+00:00,83,29417,128x,100ms,1,6,15,19,24,6,15,19,24,21,111
2026-09-08T22:28:58.070179+00:00,84,29771,128x,100ms,1,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:58.420187+00:00,85,30126,128x,100ms,0,6,15,19,24,6,15,19,24,21,110
2026-09-08T22:28:58.770440+00:00,86,30480,128x,100ms,0,6,14,18,22,6,14,18,22,21,108
2026-09-08T22:28:59.119392+00:00,87,30834,128x,100ms,0,6,14,17,22,6,14,18,22,21,108
2026-09-08T22:28:59.495324+00:00,88,31188,128x,100ms,0,5,14,18,22,6,14,17,22,21,109
2026-09-08T22:28:59.845374+00:00,89,31544,128x,100ms,0,6,14,17,22,5,14,17,22,21,109
2026-09-08T22:29:00.195290+00:00,90,31898,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:00.545489+00:00,91,32252,128x,100ms,0,6,14,18,22,6,14,17,22,21,109
2026-09-08T22:29:00.895586+00:00,92,32607,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:01.245748+00:00,93,32961,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:01.620191+00:00,94,33315,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:01.970512+00:00,95,33671,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:02.320194+00:00,96,34025,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:02.670850+00:00,97,34379,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:03.020121+00:00,98,34734,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:03.370812+00:00,99,35088,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:03.745020+00:00,100,35442,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:04.095550+00:00,101,35796,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:04.445095+00:00,102,36151,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:04.795639+00:00,103,36505,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:05.145588+00:00,104,36859,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:05.495733+00:00,105,37214,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:05.870174+00:00,106,37568,128x,100ms,0,6,14,18,23,6,14,18,23,21,108
2026-09-08T22:29:06.220163+00:00,107,37922,128x,100ms,0,6,14,18,23,6,14,18,23,21,108
2026-09-08T22:29:06.569564+00:00,108,38277,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:06.920575+00:00,109,38631,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:07.270510+00:00,110,38985,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:07.620077+00:00,111,39340,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:07.995312+00:00,112,39693,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:08.345824+00:00,113,40047,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:08.695206+00:00,114,40401,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:09.045167+00:00,115,40756,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:09.395704+00:00,116,41110,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:09.744935+00:00,117,41464,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:10.120549+00:00,118,41819,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:10.470282+00:00,119,42173,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:10.819547+00:00,120,42527,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:11.170227+00:00,121,42882,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:11.520483+00:00,122,43236,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:11.870358+00:00,123,43590,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:12.245438+00:00,124,43944,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:12.595935+00:00,125,44299,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:12.945632+00:00,126,44653,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:13.295243+00:00,127,45007,128x,100ms,0,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:13.645070+00:00,128,45362,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:13.994999+00:00,129,45716,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:14.370485+00:00,130,46070,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:14.720280+00:00,131,46425,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:15.070376+00:00,132,46779,128x,100ms,1,6,14,18,23,6,14,18,23,21,108
2026-09-08T22:29:15.419887+00:00,133,47133,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:15.770657+00:00,134,47488,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
2026-09-08T22:29:16.120393+00:00,135,47842,128x,100ms,1,6,14,18,23,6,14,18,23,21,109
