received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-09T00:06:24.851919+00:00,1,240,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:25.112967+00:00,2,499,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:25.369549+00:00,3,758,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:25.632934+00:00,4,1017,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:25.889430+00:00,5,1276,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:26.145566+00:00,6,1536,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:26.408955+00:00,7,1795,128x,100ms,0,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:26.666065+00:00,8,2054,128x,100ms,0,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:26.921249+00:00,9,2314,128x,100ms,0,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:27.185760+00:00,10,2572,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:27.441508+00:00,11,2831,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:27.698277+00:00,12,3091,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:27.962367+00:00,13,3350,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:28.225355+00:00,14,3609,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:28.481237+00:00,15,3869,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:28.737906+00:00,16,4128,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:29.001583+00:00,17,4387,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:29.257734+00:00,18,4647,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:29.513347+00:00,19,4907,128x,100ms,1,0,0,0,1,0,0,0,1,0,5
2026-09-09T00:06:29.777439+00:00,20,5167,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:30.034115+00:00,21,5426,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:30.296679+00:00,22,5686,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:30.554297+00:00,23,5945,128x,100ms,1,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:30.817656+00:00,24,6204,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:31.072542+00:00,25,6464,128x,100ms,0,0,0,0,1,0,0,0,1,0,4
2026-09-09T00:06:31.337927+00:00,26,6723,128x,100ms,0,0,0,0,1,1,1,1,19,2,47
2026-09-09T00:06:31.593912+00:00,27,6982,128x,100ms,0,8,19,24,79,5,17,20,22,8,101
2026-09-09T00:06:31.857624+00:00,28,7243,128x,100ms,0,3,11,13,15,2,8,9,10,7,83
2026-09-09T00:06:32.114897+00:00,29,7503,128x,100ms,0,2,7,8,10,2,6,7,9,6,77
2026-09-09T00:06:32.373936+00:00,30,7762,128x,100ms,0,1,5,6,7,2,6,7,8,5,58
2026-09-09T00:06:32.632636+00:00,31,8022,128x,100ms,0,3,9,11,17,5,15,18,30,13,161
2026-09-09T00:06:32.891010+00:00,32,8281,128x,100ms,0,5,12,17,24,4,10,16,21,11,127
2026-09-09T00:06:33.156744+00:00,33,8542,128x,100ms,0,7,22,23,31,7,22,23,29,8,92
2026-09-09T00:06:33.409255+00:00,34,8801,128x,100ms,0,4,14,16,19,5,15,18,19,10,119
2026-09-09T00:06:33.670198+00:00,35,9061,128x,100ms,1,6,20,20,17,8,26,33,21,9,106
2026-09-09T00:06:33.935746+00:00,36,9322,128x,100ms,1,9,37,39,30,9,47,42,32,17,161
2026-09-09T00:06:34.200404+00:00,37,9583,128x,100ms,1,12,74,54,46,9,53,40,31,19,183
2026-09-09T00:06:34.456069+00:00,38,9845,128x,100ms,1,29,157,42,18,17,91,29,18,12,165
2026-09-09T00:06:34.722662+00:00,39,10107,128x,100ms,1,7,31,28,28,9,41,38,44,14,174
2026-09-09T00:06:34.977891+00:00,40,10369,128x,100ms,1,9,49,34,68,3,4,5,47,5,96
2026-09-09T00:06:35.241697+00:00,41,10629,128x,100ms,1,5,11,15,45,0,1,1,3,0,10
2026-09-09T00:06:35.499386+00:00,42,10889,128x,100ms,1,0,0,0,1,0,0,0,2,0,6
2026-09-09T00:06:35.762800+00:00,43,11149,128x,100ms,1,2,2,3,29,4,13,15,37,9,138
2026-09-09T00:06:36.019821+00:00,44,11410,128x,100ms,1,4,15,15,20,4,19,19,26,8,100
2026-09-09T00:06:36.284160+00:00,45,11671,128x,100ms,1,5,20,19,27,5,21,21,28,9,101
2026-09-09T00:06:36.540686+00:00,46,11932,128x,100ms,1,6,24,24,31,5,17,19,25,8,99
2026-09-09T00:06:36.807679+00:00,47,12193,128x,100ms,0,6,22,24,30,6,21,24,29,14,154
2026-09-09T00:06:37.062666+00:00,48,12454,128x,100ms,0,6,20,24,27,6,19,23,26,13,140
2026-09-09T00:06:37.325821+00:00,49,12716,128x,100ms,0,5,18,22,25,5,16,20,23,10,119
2026-09-09T00:06:37.584145+00:00,50,12977,128x,100ms,0,4,13,16,18,4,12,15,17,6,76
2026-09-09T00:06:37.842079+00:00,51,13237,128x,100ms,0,3,10,13,15,1,5,5,8,1,28
2026-09-09T00:06:38.098612+00:00,52,13496,128x,100ms,0,0,1,0,5,0,1,0,3,0,8
2026-09-09T00:06:38.363207+00:00,53,13755,128x,100ms,0,0,1,0,4,0,0,0,3,0,8
2026-09-09T00:06:38.618568+00:00,54,14014,128x,100ms,0,0,0,0,2,0,0,0,1,0,6
2026-09-09T00:06:38.882608+00:00,55,14273,128x,100ms,0,0,0,0,1,0,0,0,0,0,5
2026-09-09T00:06:39.137852+00:00,56,14532,128x,100ms,0,0,0,0,0,0,0,0,1,0,7
2026-09-09T00:06:39.403264+00:00,57,14792,128x,100ms,0,0,0,0,1,0,0,0,1,0,7
2026-09-09T00:06:39.658688+00:00,58,15051,128x,100ms,1,0,0,0,1,0,0,0,5,0,13
2026-09-09T00:06:39.922113+00:00,59,15310,128x,100ms,1,3,11,12,14,3,13,13,18,4,58
2026-09-09T00:06:40.178901+00:00,60,15571,128x,100ms,1,2,9,8,9,0,4,2,5,0,17
2026-09-09T00:06:40.436264+00:00,61,15832,128x,100ms,1,0,0,0,1,0,0,0,0,0,3
2026-09-09T00:06:40.699381+00:00,62,16091,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:40.954519+00:00,63,16351,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:41.219967+00:00,64,16611,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:41.475347+00:00,65,16870,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:41.740334+00:00,66,17130,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:41.996140+00:00,67,17390,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:42.251973+00:00,68,17650,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:42.516167+00:00,69,17909,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:42.779582+00:00,70,18169,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:43.035378+00:00,71,18428,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:43.299257+00:00,72,18689,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:43.555959+00:00,73,18948,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:43.812242+00:00,74,19207,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:44.075378+00:00,75,19467,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:44.332132+00:00,76,19726,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:44.587444+00:00,77,19985,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:44.851760+00:00,78,20244,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.107182+00:00,79,20504,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.371123+00:00,80,20763,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.627631+00:00,81,21022,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.891283+00:00,82,21282,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.147798+00:00,83,21542,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.412042+00:00,84,21803,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.667462+00:00,85,22062,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.924178+00:00,86,22322,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:47.187727+00:00,87,22582,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
