received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-09T00:44:26.327290+00:00,1,670,128x,300ms,0,0,0,0,0,0,1,1,0,0,6
2026-09-09T00:44:27.014738+00:00,2,1360,128x,300ms,0,0,0,0,0,0,1,1,0,0,6
2026-09-09T00:44:27.709798+00:00,3,2051,128x,300ms,0,0,0,0,0,0,2,1,0,0,6
2026-09-09T00:44:28.398941+00:00,4,2741,128x,300ms,0,0,0,0,0,1,2,1,0,0,6
2026-09-09T00:44:29.087173+00:00,5,3431,128x,300ms,1,0,0,0,0,1,1,0,0,0,6
2026-09-09T00:44:29.775211+00:00,6,4121,128x,300ms,1,0,0,0,0,0,1,1,0,0,6
2026-09-09T00:44:30.470258+00:00,7,4811,128x,300ms,1,0,0,0,0,1,1,1,0,0,6
2026-09-09T00:44:31.158981+00:00,8,5501,128x,300ms,1,0,0,0,0,0,1,1,0,0,6
2026-09-09T00:44:31.847294+00:00,9,6191,128x,300ms,0,0,0,0,0,1,1,1,0,0,6
2026-09-09T00:44:32.534510+00:00,10,6881,128x,300ms,0,0,0,0,0,0,2,1,0,0,6
2026-09-09T00:44:33.223292+00:00,11,7570,128x,300ms,0,0,0,0,0,1,2,1,0,0,6
2026-09-09T00:44:33.919067+00:00,12,8260,128x,300ms,0,0,0,0,0,0,2,1,0,0,6
2026-09-09T00:44:34.607011+00:00,13,8949,128x,300ms,0,0,0,0,0,1,2,1,0,0,6
2026-09-09T00:44:35.294991+00:00,14,9639,128x,300ms,1,0,0,0,0,1,1,1,0,0,6
2026-09-09T00:44:35.984284+00:00,15,10330,128x,300ms,1,0,0,0,0,0,2,1,0,0,6
2026-09-09T00:44:36.671356+00:00,16,11020,128x,300ms,1,0,0,0,0,0,2,1,0,0,6
2026-09-09T00:44:37.367663+00:00,17,11710,128x,300ms,1,0,0,0,0,0,1,1,0,0,6
