received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-11T14:26:54.062586+00:00,3,2051,128x,300ms,0,0,0,0,0,2,2,1,0,0,6
2026-09-11T14:26:54.750629+00:00,4,2741,128x,300ms,0,0,0,0,0,2,2,1,0,0,6
2026-09-11T14:26:55.438541+00:00,5,3431,128x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:56.126563+00:00,6,4121,128x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:56.822367+00:00,7,4812,128x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:57.510221+00:00,8,5502,128x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:58.206462+00:00,9,6193,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:58.894249+00:00,10,6883,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:59.581789+00:00,11,7573,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:26:59.974930+00:00,12,7966,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:00.158736+00:00,13,8153,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:00.343137+00:00,14,8339,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:00.534734+00:00,15,8525,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:00.718675+00:00,16,8712,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:00.902019+00:00,17,8897,128x,50ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:01.086916+00:00,18,9083,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:01.271132+00:00,19,9270,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:01.462452+00:00,20,9456,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:01.654893+00:00,21,9644,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:01.838011+00:00,22,9830,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:02.022342+00:00,23,10017,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:02.206803+00:00,24,10204,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:02.398422+00:00,25,10390,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:02.582413+00:00,26,10577,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:02.774098+00:00,27,10764,128x,50ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:03.485656+00:00,28,11480,128x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:04.174322+00:00,29,12170,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:04.863446+00:00,30,12860,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:05.558944+00:00,31,13550,128x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:06.367108+00:00,32,14362,256x,300ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:07.054941+00:00,33,15052,256x,300ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-11T14:27:07.742777+00:00,34,15744,256x,300ms,1,0,0,0,0,0,0,0,0,0,3
