received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-11T15:17:15.247428+00:00,3,2108,128x,300ms,0,0,2,4,5,11,19,11,4,0,40
2026-09-11T15:17:15.958470+00:00,4,2822,128x,300ms,0,0,2,4,5,11,19,11,4,0,39
2026-09-11T15:17:16.678185+00:00,5,3535,128x,300ms,0,0,2,4,5,11,19,11,4,0,40
2026-09-11T15:17:17.390707+00:00,6,4250,128x,300ms,1,0,2,4,5,11,19,11,4,0,40
2026-09-11T15:17:18.110956+00:00,7,4965,128x,300ms,1,0,2,4,5,10,19,11,4,0,40
2026-09-11T15:17:18.822876+00:00,8,5680,128x,300ms,1,0,2,4,5,11,19,11,4,0,39
2026-09-11T15:17:19.542416+00:00,9,6395,128x,300ms,1,0,2,4,5,11,19,11,4,0,39
2026-09-11T15:17:20.254675+00:00,10,7110,128x,300ms,1,0,2,4,5,11,19,11,4,0,40
2026-09-11T15:17:20.967385+00:00,11,7825,128x,300ms,0,0,2,4,5,11,19,11,4,0,40
2026-09-11T15:17:21.678315+00:00,12,8540,128x,300ms,0,0,2,3,5,3,5,3,1,0,13
2026-09-11T15:17:22.391289+00:00,13,9253,128x,300ms,0,0,0,0,0,1,3,2,0,0,9
2026-09-11T15:17:23.103237+00:00,14,9967,128x,300ms,0,0,0,0,0,0,2,1,0,0,6
2026-09-11T15:17:23.822523+00:00,15,10681,128x,300ms,0,0,0,0,1,6,11,6,2,0,24
2026-09-11T15:17:24.534985+00:00,16,11395,128x,300ms,1,0,2,3,5,11,19,11,4,0,39
2026-09-11T15:17:25.255046+00:00,17,12109,128x,300ms,1,0,2,4,5,10,19,11,4,0,38
2026-09-11T15:17:25.967051+00:00,18,12825,128x,300ms,1,0,2,4,5,10,19,10,4,0,38
2026-09-11T15:17:26.679105+00:00,19,13541,128x,300ms,1,0,2,4,5,10,19,11,4,0,38
2026-09-11T15:17:27.399522+00:00,20,14256,128x,300ms,1,0,2,4,5,13,23,14,7,0,111
2026-09-11T15:17:28.118692+00:00,21,14971,128x,300ms,0,174,620,64,28,34,50,39,29,2,666
2026-09-11T15:17:28.831367+00:00,22,15689,128x,300ms,0,194,688,71,31,31,46,36,26,1,592
2026-09-11T15:17:29.550661+00:00,23,16407,128x,300ms,0,0,2,3,5,36,53,42,31,2,720
2026-09-11T15:17:30.262758+00:00,24,17122,128x,300ms,0,229,777,80,35,36,53,42,31,2,723
