received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-14T20:08:48.619517+00:00,3,2132,128x,300ms,25,64,0,162,461,562,693,1052,897,1212,521,559,3190
2026-09-14T20:08:49.345640+00:00,4,2855,128x,300ms,25,64,0,84,217,269,318,1367,1250,1403,661,490,2614
2026-09-14T20:08:50.072324+00:00,5,3577,128x,300ms,25,64,0,200,347,472,505,731,692,850,484,439,1564
2026-09-14T20:08:50.792420+00:00,6,4300,128x,300ms,25,64,1,111,270,344,418,721,664,793,456,655,2473
2026-09-14T20:08:51.512872+00:00,7,5023,128x,300ms,25,64,1,131,314,406,462,779,722,979,451,632,2275
2026-09-14T20:08:52.240864+00:00,8,5746,128x,300ms,25,64,1,97,267,286,367,1310,1210,1335,616,764,3364
2026-09-14T20:08:52.961281+00:00,9,6471,128x,300ms,25,64,1,117,297,374,426,1016,908,1030,531,817,3252
2026-09-14T20:08:53.681650+00:00,10,7195,128x,300ms,25,64,1,182,482,594,676,1653,1444,1491,593,626,3522
2026-09-14T20:08:54.401648+00:00,11,7919,128x,300ms,25,64,0,55,116,148,188,27,49,120,89,66,194
2026-09-14T20:08:55.121127+00:00,12,8640,128x,300ms,25,64,0,6,9,12,18,557,556,659,326,317,1386
2026-09-14T20:08:55.841529+00:00,13,9360,128x,300ms,25,64,0,110,264,349,387,894,789,896,378,341,1714
2026-09-14T20:08:56.569801+00:00,14,10082,128x,300ms,25,64,0,63,141,194,220,105,79,136,67,63,276
2026-09-14T20:08:57.289092+00:00,15,10804,128x,300ms,25,64,0,66,152,191,222,398,376,580,317,236,1060
2026-09-14T20:08:58.008875+00:00,16,11526,128x,300ms,25,64,1,26,63,73,84,175,95,182,62,19,107
2026-09-14T20:08:58.729596+00:00,17,12247,128x,300ms,25,64,1,7,18,23,31,152,159,230,140,165,578
2026-09-14T20:08:59.449242+00:00,18,12969,128x,300ms,25,64,1,6,7,10,20,25,14,32,13,54,145
2026-09-14T20:09:00.161956+00:00,19,13689,128x,300ms,25,64,1,0,0,1,6,11,4,5,1,1,23
2026-09-14T20:09:00.880764+00:00,20,14406,128x,300ms,25,64,1,0,0,0,4,7,2,2,0,0,13
2026-09-14T20:09:01.593635+00:00,21,15124,128x,300ms,25,64,0,0,0,0,4,7,2,2,0,0,17
2026-09-14T20:09:02.313324+00:00,22,15840,128x,300ms,25,64,0,0,1,2,13,19,7,5,2,0,42
2026-09-14T20:09:03.033223+00:00,23,16557,128x,300ms,25,64,0,0,2,3,14,41,20,19,12,12,85
2026-09-14T20:09:03.745432+00:00,24,17274,128x,300ms,25,64,0,4,8,10,24,15,6,4,2,1,36
2026-09-14T20:09:04.465127+00:00,25,17992,128x,300ms,25,64,0,0,0,0,2,2,1,0,0,0,8
2026-09-14T20:09:05.177595+00:00,26,18709,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:05.896896+00:00,27,19426,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:06.617569+00:00,28,20144,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:07.329606+00:00,29,20860,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:08.049962+00:00,30,21578,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:08.769996+00:00,31,22295,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:09.481936+00:00,32,23012,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:10.193499+00:00,33,23729,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:09:10.913336+00:00,34,24445,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:09:11.624998+00:00,35,25162,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:12.345403+00:00,36,25879,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:13.065263+00:00,37,26596,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:13.777176+00:00,38,27313,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:14.497509+00:00,39,28030,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:15.209876+00:00,40,28747,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:15.929216+00:00,41,29465,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:16.649737+00:00,42,30181,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:17.362040+00:00,43,30898,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:18.081938+00:00,44,31614,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:18.793782+00:00,45,32331,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:19.512842+00:00,46,33048,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,4
2026-09-14T20:09:20.233639+00:00,47,33765,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:09:20.944207+00:00,48,34482,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:09:21.665517+00:00,49,35200,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:09:22.377303+00:00,50,35916,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:23.097506+00:00,51,36633,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:23.809587+00:00,52,37350,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:24.529174+00:00,53,38067,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:25.241726+00:00,54,38785,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:25.961352+00:00,55,39501,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:26.680840+00:00,56,40218,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:27.392434+00:00,57,40935,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:28.113299+00:00,58,41653,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:28.825651+00:00,59,42370,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:29.545841+00:00,60,43086,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:30.265492+00:00,61,43803,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,3
2026-09-14T20:09:30.977894+00:00,62,44521,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:31.697456+00:00,63,45238,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:32.409272+00:00,64,45955,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:33.129176+00:00,65,46671,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:33.849387+00:00,66,47388,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:34.562079+00:00,67,48105,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:35.281704+00:00,68,48823,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:35.993458+00:00,69,49540,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:36.713695+00:00,70,50256,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:37.433756+00:00,71,50974,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:38.145451+00:00,72,51691,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:38.857380+00:00,73,52408,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:39.577555+00:00,74,53125,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:40.297470+00:00,75,53841,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:41.017518+00:00,76,54558,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:41.729470+00:00,77,55275,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:42.441406+00:00,78,55993,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:43.161615+00:00,79,56710,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:43.880802+00:00,80,57426,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:09:44.592899+00:00,81,58144,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:45.313348+00:00,82,58861,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
