received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-14T22:09:23.054428+00:00,4,2838,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T22:09:23.759018+00:00,5,3555,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T22:09:24.479036+00:00,6,4272,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T22:09:25.199948+00:00,7,4988,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T22:09:25.919289+00:00,8,5705,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T22:09:26.639009+00:00,9,6422,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T22:09:27.359193+00:00,10,7139,128x,300ms,25,64,1,0,0,0,0,472,371,526,200,204,1164
2026-09-14T22:09:28.079011+00:00,11,7862,128x,300ms,25,64,0,51,141,169,193,463,366,540,204,215,1155
2026-09-14T22:09:28.799494+00:00,12,8583,128x,300ms,25,64,0,49,138,165,191,506,407,562,216,220,1188
2026-09-14T22:09:29.526871+00:00,13,9305,128x,300ms,25,64,0,47,130,153,181,465,364,546,204,220,1165
2026-09-14T22:09:30.247336+00:00,14,10027,128x,300ms,25,64,0,113,1153,564,234,695,540,695,340,285,3677
2026-09-14T22:09:30.975276+00:00,15,10749,128x,300ms,25,64,0,128,1248,1253,346,561,407,547,218,253,1486
2026-09-14T22:09:31.695775+00:00,16,11473,128x,300ms,25,64,1,61,170,208,238,744,656,722,310,337,1927
2026-09-14T22:09:32.415451+00:00,17,12196,128x,300ms,25,64,1,75,245,372,277,401,335,445,203,259,1324
2026-09-14T22:09:33.135926+00:00,18,12920,128x,300ms,25,64,1,95,1180,714,202,418,294,468,170,213,1134
2026-09-14T22:09:33.863163+00:00,19,13643,128x,300ms,25,64,1,30,77,83,115,103,99,158,55,53,307
2026-09-14T22:09:34.583204+00:00,20,14365,128x,300ms,25,64,1,17,48,54,66,142,114,188,65,57,384
2026-09-14T22:09:35.294544+00:00,21,15086,128x,300ms,25,64,0,22,60,68,87,283,207,341,120,130,708
2026-09-14T22:09:36.016057+00:00,22,15807,128x,300ms,25,64,0,27,77,87,109,254,187,305,107,105,627
2026-09-14T22:09:36.735283+00:00,23,16528,128x,300ms,25,64,0,25,67,77,98,91,71,123,40,38,266
2026-09-14T22:09:37.455179+00:00,24,17248,128x,300ms,25,64,0,6,17,18,33,67,51,72,32,43,191
2026-09-14T22:09:38.166847+00:00,25,17967,128x,300ms,25,64,0,5,14,17,27,15,4,3,0,0,28
2026-09-14T22:09:38.886764+00:00,26,18684,128x,300ms,25,64,1,0,14,6,0,0,0,0,0,0,14
2026-09-14T22:09:39.607054+00:00,27,19401,128x,300ms,25,64,1,0,14,8,0,0,0,0,0,0,9
2026-09-14T22:09:40.327722+00:00,28,20119,128x,300ms,25,64,1,0,13,8,0,0,0,0,0,0,14
2026-09-14T22:09:41.038953+00:00,29,20836,128x,300ms,25,64,1,0,18,10,0,0,0,0,0,0,7
2026-09-14T22:09:41.758998+00:00,30,21554,128x,300ms,25,64,1,0,10,6,0,0,0,0,0,0,13
