received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T00:06:49.308111+00:00,4,2839,128x,300ms,25,64,0,0,0,1,2,4,6,3,0,0,16
2026-09-15T00:06:50.018490+00:00,5,3555,128x,300ms,25,64,0,0,0,1,3,4,7,3,0,0,17
2026-09-15T00:06:51.459133+00:00,6,4306,128x,300ms,25,64,1,0,1,2,3,5,8,4,1,0,17
2026-09-15T00:06:52.179477+00:00,7,5023,128x,300ms,25,64,1,1,3,6,8,16,24,13,5,0,63
2026-09-15T00:06:52.891155+00:00,8,5742,128x,300ms,25,64,1,2,7,11,15,20,37,21,9,1,77
2026-09-15T00:06:53.611972+00:00,9,6460,128x,300ms,25,64,1,2,7,13,41,18,24,14,6,0,63
2026-09-15T00:06:54.319150+00:00,10,7178,128x,300ms,25,64,1,0,1,2,6,5,7,3,1,0,19
2026-09-15T00:06:55.038928+00:00,11,7895,128x,300ms,25,64,0,0,0,1,3,4,5,2,0,0,14
2026-09-15T00:06:55.759257+00:00,12,8611,128x,300ms,25,64,0,0,0,0,3,3,4,2,0,0,14
2026-09-15T00:06:56.469736+00:00,13,9328,128x,300ms,25,64,0,0,0,0,3,3,4,2,0,0,13
2026-09-15T00:06:57.186232+00:00,14,10045,128x,300ms,25,64,0,0,0,0,3,3,4,2,0,0,13
2026-09-15T00:06:57.905838+00:00,15,10762,128x,300ms,25,64,0,0,0,0,3,3,4,2,0,0,12
2026-09-15T00:06:57.937675+00:00,16,11479,128x,300ms,25,64,1,0,0,0,3,3,4,2,0,0,12
2026-09-15T00:06:58.658359+00:00,17,12196,128x,300ms,25,64,1,0,0,0,3,3,4,2,0,0,12
2026-09-15T00:07:00.091614+00:00,18,12949,256x,300ms,25,64,1,0,0,1,5,6,7,4,0,0,25
2026-09-15T00:07:00.810522+00:00,19,13666,256x,300ms,25,64,1,0,0,1,5,5,7,4,0,0,24
2026-09-15T00:07:01.530529+00:00,20,14384,256x,300ms,25,64,1,0,0,1,6,6,7,4,0,0,24
2026-09-15T00:07:02.243392+00:00,21,15101,256x,300ms,25,64,0,0,0,0,5,3,5,3,0,0,18
2026-09-15T00:07:02.963213+00:00,22,15818,256x,300ms,25,64,0,0,0,1,1,5,9,5,0,0,23
2026-09-15T00:07:03.674893+00:00,23,16535,256x,300ms,25,64,0,0,0,1,2,6,9,5,0,0,25
2026-09-15T00:07:04.393826+00:00,24,17252,256x,300ms,25,64,0,0,0,1,2,5,9,4,0,0,23
2026-09-15T00:07:05.114211+00:00,25,17969,256x,300ms,25,64,0,0,0,3,10,25,42,23,7,0,87
2026-09-15T00:07:05.834718+00:00,26,18686,256x,300ms,25,64,1,1,7,13,19,24,35,25,8,0,66
2026-09-15T00:07:06.563366+00:00,27,19405,256x,300ms,25,64,1,0,1,5,8,14,26,20,7,0,48
2026-09-15T00:07:07.290454+00:00,28,20124,256x,300ms,25,64,1,3,8,15,21,1782,1539,1776,608,490,5120
2026-09-15T00:07:08.009972+00:00,29,20848,256x,300ms,25,64,1,218,534,720,782,1782,1456,1617,608,642,5892
2026-09-15T00:07:08.730537+00:00,30,21573,256x,300ms,25,64,1,265,671,874,966,2530,2103,2283,822,1062,9313
2026-09-15T00:07:08.771357+00:00,31,22299,256x,300ms,25,64,0,250,634,830,885,6751,2245,7200,973,3488,29115
2026-09-15T00:07:09.490851+00:00,32,23023,256x,300ms,25,64,0,407,1102,1836,1724,6130,2207,7213,888,3000,25618
2026-09-15T00:07:10.907240+00:00,33,23748,256x,300ms,25,64,0,264,705,1130,1083,3362,1874,4261,707,1736,15863
2026-09-15T00:07:11.634772+00:00,34,24473,256x,300ms,25,64,0,221,563,845,841,3247,1438,3555,595,2674,19731
2026-09-15T00:07:12.354695+00:00,35,25197,256x,300ms,25,64,0,231,664,780,952,2320,1832,2131,661,336,3779
2026-09-15T00:07:12.393653+00:00,36,25921,256x,300ms,25,64,1,218,567,716,812,7842,1858,8472,920,3520,29096
2026-09-15T00:07:13.122567+00:00,37,26647,256x,300ms,25,64,1,490,1503,2336,2539,5730,2020,7516,778,3284,25690
2026-09-15T00:07:13.842634+00:00,38,27374,256x,300ms,25,64,1,279,760,1365,1252,9057,1990,10040,934,3890,32171
2026-09-15T00:07:15.258486+00:00,39,28100,256x,300ms,25,64,1,697,2478,3044,3432,9398,2516,10024,1146,3764,32919
2026-09-15T00:07:15.986753+00:00,40,28827,256x,300ms,25,64,1,237,604,809,862,2258,1650,2136,657,1148,10896
2026-09-15T00:07:16.708139+00:00,41,29553,256x,300ms,25,64,0,242,607,820,860,3902,1997,3269,776,3872,25616
2026-09-15T00:07:17.426569+00:00,42,30277,256x,300ms,25,64,0,210,501,670,734,1742,1285,1628,508,300,2942
2026-09-15T00:07:18.154756+00:00,43,31001,256x,300ms,25,64,0,255,718,883,1011,3911,3342,3063,987,324,4814
2026-09-15T00:07:18.881784+00:00,44,31725,256x,300ms,25,64,0,228,674,809,913,1400,1058,1160,344,174,2552
2026-09-15T00:07:19.601982+00:00,45,32449,256x,300ms,25,64,0,103,294,357,604,1208,971,1032,310,150,2207
2026-09-15T00:07:20.322580+00:00,46,33172,256x,300ms,25,64,1,122,346,420,642,1274,1053,1117,336,152,2215
2026-09-15T00:07:21.051546+00:00,47,33897,256x,300ms,25,64,1,129,360,438,656,1236,1003,1079,326,152,2164
2026-09-15T00:07:21.778624+00:00,48,34622,256x,300ms,25,64,1,123,329,393,626,1211,981,1065,318,142,2060
2026-09-15T00:07:22.499116+00:00,49,35346,256x,300ms,25,64,1,122,340,413,621,1227,1002,1088,322,140,2035
2026-09-15T00:07:23.218140+00:00,50,36071,256x,300ms,25,64,1,120,329,399,612,1192,962,1056,312,136,1969
2026-09-15T00:07:23.946684+00:00,51,36796,256x,300ms,25,64,0,119,325,393,606,1210,970,1067,317,138,1996
2026-09-15T00:07:24.667526+00:00,52,37519,256x,300ms,25,64,0,120,332,402,606,1129,913,1008,298,128,1847
2026-09-15T00:07:25.394856+00:00,53,38243,256x,300ms,25,64,0,114,312,378,580,1135,917,1013,299,128,1861
2026-09-15T00:07:26.115241+00:00,54,38966,256x,300ms,25,64,0,113,305,369,575,1133,916,1011,299,126,1858
2026-09-15T00:07:26.834498+00:00,55,39689,256x,300ms,25,64,0,115,308,372,575,1145,890,989,298,128,1839
2026-09-15T00:07:27.562599+00:00,56,40413,256x,300ms,25,64,1,115,312,367,574,1200,894,1001,309,132,1867
2026-09-15T00:07:28.283115+00:00,57,41137,256x,300ms,25,64,1,121,342,394,602,1353,976,1084,342,148,2001
2026-09-15T00:07:29.010338+00:00,58,41861,256x,300ms,25,64,1,132,385,444,652,1328,962,1069,336,144,1971
2026-09-15T00:07:29.730778+00:00,59,42585,256x,300ms,25,64,1,121,339,392,596,1259,917,1028,321,138,1897
2026-09-15T00:07:30.458739+00:00,60,43309,256x,300ms,25,64,1,121,340,393,598,1301,941,1055,330,138,1943
2026-09-15T00:07:31.178476+00:00,61,44034,256x,300ms,25,64,0,116,315,372,573,1138,903,1002,296,124,1806
2026-09-15T00:07:31.899588+00:00,62,44756,256x,300ms,25,64,0,110,303,364,568,1198,927,1042,303,126,1897
2026-09-15T00:07:32.626310+00:00,63,45479,256x,300ms,25,64,0,110,333,403,586,1178,900,989,295,122,1815
2026-09-15T00:07:33.347325+00:00,64,46203,256x,300ms,25,64,0,102,306,370,551,1270,999,1123,323,134,2014
2026-09-15T00:07:34.074981+00:00,65,46926,256x,300ms,25,64,0,126,354,427,637,1310,1041,1169,337,140,2081
2026-09-15T00:07:34.795031+00:00,66,47649,256x,300ms,25,64,1,131,368,443,655,1322,1052,1181,340,140,2103
2026-09-15T00:07:35.522436+00:00,67,48374,256x,300ms,25,64,1,130,363,437,648,1296,1031,1154,334,140,2066
2026-09-15T00:07:36.250954+00:00,68,49099,256x,300ms,25,64,1,127,357,433,639,1270,1007,1130,327,136,2022
2026-09-15T00:07:36.970536+00:00,69,49823,256x,300ms,25,64,1,126,353,427,635,1322,1077,1176,344,146,2143
2026-09-15T00:07:37.691632+00:00,70,50547,256x,300ms,25,64,1,127,355,429,635,1277,1030,1123,329,140,2068
2026-09-15T00:07:38.418585+00:00,71,51272,256x,300ms,25,64,0,121,343,427,613,1209,976,1063,312,134,1974
2026-09-15T00:07:39.138612+00:00,72,51996,256x,300ms,25,64,0,114,325,402,587,1151,904,964,292,124,1837
2026-09-15T00:07:39.858860+00:00,73,52719,256x,300ms,25,64,0,139,428,521,701,1505,1197,1262,377,160,2431
2026-09-15T00:07:40.587091+00:00,74,53442,256x,300ms,25,64,0,150,456,550,745,1584,1281,1367,401,174,2626
2026-09-15T00:07:41.306597+00:00,75,54166,256x,300ms,25,64,0,155,480,588,764,1584,1278,1365,401,174,2641
2026-09-15T00:07:42.035363+00:00,76,54890,256x,300ms,25,64,1,154,459,553,757,1608,1306,1396,406,174,2648
2026-09-15T00:07:42.755045+00:00,77,55615,256x,300ms,25,64,1,132,382,460,664,920,730,805,237,106,1566
2026-09-15T00:07:43.483411+00:00,78,56339,256x,300ms,25,64,1,108,299,361,562,1279,1029,1119,320,138,2094
2026-09-15T00:07:44.202814+00:00,79,57064,256x,300ms,25,64,1,141,409,493,697,1466,1186,1278,368,154,2357
2026-09-15T00:07:44.930640+00:00,80,57788,256x,300ms,25,64,1,149,435,525,737,1486,1207,1301,376,160,2403
2026-09-15T00:07:45.650251+00:00,81,58513,256x,300ms,25,64,0,149,425,514,722,1432,1111,1253,359,156,2323
2026-09-15T00:07:46.370465+00:00,82,59236,256x,300ms,25,64,0,148,440,501,672,1659,1276,1397,423,168,2348
2026-09-15T00:07:47.090883+00:00,83,59960,256x,300ms,25,64,0,151,431,506,569,896,687,765,232,76,1045
2026-09-15T00:07:47.818516+00:00,84,60683,256x,300ms,25,64,0,3,13,17,22,434,308,505,106,22,410
2026-09-15T00:07:48.538545+00:00,85,61403,256x,300ms,25,64,0,46,129,141,193,510,423,538,142,24,438
2026-09-15T00:07:49.266883+00:00,86,62125,256x,300ms,25,64,1,159,468,563,763,1797,1568,1563,477,200,2957
2026-09-15T00:07:49.987104+00:00,87,62849,256x,300ms,25,64,1,209,617,766,894,1994,1816,1744,544,240,3354
2026-09-15T00:07:50.714265+00:00,88,63574,256x,300ms,25,64,1,189,560,695,821,1635,1455,1439,448,186,2550
2026-09-15T00:07:51.434744+00:00,89,64299,256x,300ms,25,64,1,175,519,640,761,1690,1513,1490,464,196,2648
2026-09-15T00:07:52.162270+00:00,90,65022,256x,300ms,25,64,1,182,540,666,791,1791,1615,1575,491,206,2839
2026-09-15T00:07:52.883230+00:00,91,65747,256x,300ms,25,64,0,194,577,712,836,1892,1719,1659,516,212,2981
2026-09-15T00:07:53.610624+00:00,92,66470,256x,300ms,25,64,0,238,702,869,997,1997,1804,1748,543,228,3161
2026-09-15T00:07:54.330554+00:00,93,67194,256x,300ms,25,64,0,202,596,736,864,1973,1778,1728,537,226,3113
2026-09-15T00:07:55.058714+00:00,94,67918,256x,300ms,25,64,0,229,672,833,960,2164,1962,1882,585,248,3411
2026-09-15T00:07:55.779285+00:00,95,68642,256x,300ms,25,64,0,237,696,863,990,2211,2008,1920,599,252,3495
2026-09-15T00:07:56.499220+00:00,96,69366,256x,300ms,25,64,1,242,712,883,1010,2229,2027,1932,604,258,3529
2026-09-15T00:07:57.227301+00:00,97,70091,256x,300ms,25,64,1,247,723,896,1025,2254,2049,1953,611,258,3590
2026-09-15T00:07:57.955455+00:00,98,70816,256x,300ms,25,64,1,243,713,887,1016,2070,1933,1771,579,266,3555
2026-09-15T00:07:58.675117+00:00,99,71541,256x,300ms,25,64,1,241,701,869,1019,2064,1925,1869,577,236,3192
2026-09-15T00:07:58.714201+00:00,100,72265,256x,300ms,25,64,1,157,460,570,704,2971,2441,2484,760,224,3050
2026-09-15T00:07:59.442627+00:00,101,72991,256x,300ms,25,64,0,621,1866,2269,2408,5864,5011,4921,1514,580,8008
2026-09-15T00:08:00.162524+00:00,102,73716,256x,300ms,25,64,0,628,1886,2294,2437,5930,5066,4969,1532,594,8181
2026-09-15T00:08:00.891138+00:00,103,74442,256x,300ms,25,64,0,625,1880,2287,2430,5915,5047,4951,1524,588,8123
2026-09-15T00:08:01.617844+00:00,104,75168,256x,300ms,25,64,0,631,1898,2309,2453,5975,5099,4998,1540,602,8278
2026-09-15T00:08:02.338486+00:00,105,75893,256x,300ms,25,64,0,633,1903,2316,2459,5963,5088,4990,1538,616,8255
2026-09-15T00:08:03.067297+00:00,106,76619,256x,300ms,25,64,1,625,1876,2282,2422,4828,4148,4074,1277,697,6973
2026-09-15T00:08:04.474898+00:00,107,77345,256x,300ms,25,64,1,376,1089,1344,1469,2721,2379,2413,773,396,4719
2026-09-15T00:08:05.203070+00:00,108,78069,256x,300ms,25,64,1,236,682,848,980,2174,1904,2016,640,348,4048
2026-09-15T00:08:05.930437+00:00,109,78795,256x,300ms,25,64,1,232,670,831,967,2308,1965,2133,662,348,4026
2026-09-15T00:08:06.650817+00:00,110,79520,256x,300ms,25,64,1,233,674,835,969,2425,2064,2221,690,352,4103
2026-09-15T00:08:07.371516+00:00,111,80245,256x,300ms,25,64,0,242,702,867,1002,2416,2053,2216,687,354,4091
2026-09-15T00:08:08.098844+00:00,112,80970,256x,300ms,25,64,0,234,677,839,974,2353,2002,2167,673,350,4044
2026-09-15T00:08:08.826302+00:00,113,81693,256x,300ms,25,64,0,201,576,723,858,1953,1734,1841,593,344,3954
2026-09-15T00:08:09.547125+00:00,114,82417,256x,300ms,25,64,0,207,583,743,866,2106,1850,1925,619,396,4502
2026-09-15T00:08:10.275075+00:00,115,83141,256x,300ms,25,64,0,211,594,756,880,2134,1870,1942,624,398,4536
2026-09-15T00:08:10.993815+00:00,116,83865,256x,300ms,25,64,1,210,592,753,878,2126,1862,1933,621,398,4520
2026-09-15T00:08:11.722560+00:00,117,84590,256x,300ms,25,64,1,210,593,754,879,2121,1856,1929,620,400,4540
2026-09-15T00:08:12.442588+00:00,118,85315,256x,300ms,25,64,1,206,584,741,867,2056,1807,1901,611,362,4210
